First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMar,Mohawk,Bimblers,Total
Anne,Emaus,*,*,*,*,*,*,55.91,,,,,,55.91
Iris,Bazinet,*,*,55.29,*,*,*,*,,,,,,55.29
Melinda,Carpenter,*,*,55.29,*,*,*,*,,,,,,55.29
Renee,Robichaud,*,*,*,*,*,55.13,*,,,,,,55.13
Joanna,Miles,*,*,*,*,*,55.12,*,,,,,,55.12
Mary,Muldoon,*,*,*,*,*,55.09,*,,,,,,55.09
Jennifer,Bouchard,*,*,*,*,54.89,*,*,,,,,,54.89
Rachel,Hartley,54.83,*,*,*,*,*,*,,,,,,54.83
Lorraine,Giantonio,*,*,*,*,54.77,*,*,,,,,,54.77
Debra,Bana,54.32,*,*,*,*,*,*,,,,,,54.32
Mariah,Travisano,*,*,54.02,*,*,*,*,,,,,,54.02
Jessica,Bernard,*,*,*,*,53.97,*,*,,,,,,53.97
Chelsea,Phaneuf,*,*,*,*,53.97,*,*,,,,,,53.97
Danielle,Egan,*,*,*,*,*,53.96,*,,,,,,53.96
Veronica,Wolfe,53.77,*,*,*,*,*,*,,,,,,53.77
Lisa,Edwards,*,*,*,*,53.59,*,*,,,,,,53.59
Gina,Burnham,*,*,*,*,53.33,*,*,,,,,,53.33
Julie,Fulton,*,*,*,*,53.24,*,*,,,,,,53.24
Olesya,Shafirina,53.23,*,*,*,*,*,*,,,,,,53.23
Katie,Begansky,52.91,*,*,*,*,*,*,,,,,,52.91
Tracy,Parkin,*,*,*,*,51.97,*,*,,,,,,51.97
Keri,Blanda,*,*,51.83,*,*,*,*,,,,,,51.83
Charity,Uman,51.25,*,*,*,*,*,*,,,,,,51.25
Robyn,Bratica,*,*,*,51.12,*,*,*,,,,,,51.12
Mo,Carleton,51.05,*,*,*,*,*,*,,,,,,51.05
ASHLEY,BURKE,*,*,*,*,*,50.88,*,,,,,,50.88
Nicky,Bacon,*,*,*,*,50.57,*,*,,,,,,50.57
Carol,Pereira-Olson,50.46,*,*,*,*,*,*,,,,,,50.46
Ryn,Clark,50.38,*,*,*,*,*,*,,,,,,50.38
Becky,Gilbert,*,*,*,*,50.34,*,*,,,,,,50.34
Heidi,Groeger,*,*,*,49.88,*,*,*,,,,,,49.88
Michelle,Kaminski,*,*,*,49.86,*,*,*,,,,,,49.86
Beth,Lefebvre,*,*,49.72,*,*,*,*,,,,,,49.72
Hillary,Fundin,*,*,49.49,*,*,*,*,,,,,,49.49
Charlotte,Ward,*,*,49.49,*,*,*,*,,,,,,49.49
Beth,Cotter,49.33,*,*,*,*,*,*,,,,,,49.33
Madeline,Torres,*,*,49.19,*,*,*,*,,,,,,49.19
Jenny,Carpenter,48.61,*,*,*,*,*,*,,,,,,48.61
Hannah,Meunier,*,*,48.54,*,*,*,*,,,,,,48.54
Tracey,Dolan,48.23,*,*,*,*,*,*,,,,,,48.23
Sarah,Preston,*,*,*,48.01,*,*,*,,,,,,48.01
Brooke,Ebener,47.33,*,*,*,*,*,*,,,,,,47.33
Deborah,Steele,*,*,47.32,*,*,*,*,,,,,,47.32
Kris,Larsen,*,*,*,46.46,*,*,*,,,,,,46.46
Rebecca,Makas,46.25,*,*,*,*,*,*,,,,,,46.25
Kristen,Curley,46.08,*,*,*,*,*,*,,,,,,46.08
Terri,Swanson,45.97,*,*,*,*,*,*,,,,,,45.97
Jenn,Murray,*,*,*,*,45.51,*,*,,,,,,45.51
Molly,Pennell Lafortune,*,*,*,*,45.51,*,*,,,,,,45.51
